NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
48 ,2,3,  16.9%,  0.90%
48 ,2,4,   3.8%,  0.35%
48 ,2,5,   1.7%,  0.42%
48 ,3,1,   8.4%,  1.12%
48 ,3,2,   2.8%,  0.62%
48 ,3,3,   5.5%,  0.74%
48 ,3,4,  11.9%,  1.05%
48 ,3,5,  19.0%,  0.73%
48 ,3,6,  13.3%,  0.75%
48 ,3,7,  10.3%,  1.27%
48 ,3,8,  11.7%,  1.03%
48 ,3,9,   8.9%,  0.69%
48 ,3,10,   8.3%,  1.10%
48 ,4,1,   7.0%,  0.57%
48 ,4,2,  38.6%,  1.06%
48 ,4,3,  54.4%,  1.10%
48 ,5,1,   0.6%,  0.23%
48 ,5,2,   2.9%,  0.65%
48 ,5,3,   1.2%,  0.62%
48 ,5,4,  95.2%,  0.92%
48 ,6,1,   4.0%,  0.63%
48 ,6,2,  13.6%,  0.95%
48 ,6,3,  82.3%,  1.32%
48 ,7,1,   2.3%,  0.41%
48 ,7,2,  40.4%,  1.32%
48 ,7,3,  57.3%,  1.45%
48 ,8,1,   4.3%,  0.77%
48 ,8,2,  24.2%,  1.42%
48 ,8,3,  71.5%,  1.74%
48 ,9,1,   3.9%,  0.91%
48 ,9,2,   3.8%,  0.83%
48 ,9,3,  32.5%,  1.23%
48 ,9,4,  59.8%,  1.36%
48 ,10,1,  16.0%,  0.70%
48 ,10,2,   7.4%,  0.79%
48 ,10,3,   5.9%,  0.67%
48 ,10,4,   2.2%,  0.42%
48 ,10,5,   4.7%,  0.63%
48 ,10,6,  18.5%,  1.42%
48 ,10,7,  71.9%,  1.11%
48 ,11,1,   7.9%,  0.98%
48 ,11,2,  13.2%,  1.34%
48 ,11,3,   2.2%,  0.49%
48 ,11,4,   6.4%,  0.48%
48 ,11,5,  10.4%,  1.18%
48 ,11,6,   3.0%,  0.74%
48 ,11,7,   5.3%,  0.55%
48 ,11,8,  70.6%,  1.50%
48 ,12,1,   1.1%,  0.21%
48 ,12,2,   6.5%,  0.60%
48 ,12,3,  37.0%,  1.71%
48 ,12,4,  31.4%,  1.12%
48 ,12,5,  23.9%,  0.95%
48 ,13,1,   8.3%,  0.94%
48 ,13,2,  10.8%,  0.98%
48 ,13,3,  15.5%,  1.43%
48 ,13,4,  20.5%,  0.80%
48 ,13,5,  22.4%,  1.31%
48 ,13,6,   8.3%,  1.00%
48 ,13,7,  14.2%,  1.21%
48 ,14,1,   5.6%,  1.16%
48 ,14,2,  94.4%,  1.16%
48 ,15,1,  11.3%,  0.97%
48 ,15,2,  88.7%,  0.97%
48 ,16,1,  69.7%,  1.11%
48 ,16,2,  22.7%,  1.25%
48 ,16,3,  17.4%,  1.28%
48 ,16,4,   1.1%,  0.36%
48 ,16,5,   0.8%,  0.18%
48 ,16,6,   2.7%,  0.49%
48 ,16,7,   0.4%,  0.19%
48 ,16,8,   1.3%,  0.43%
48 ,16,9,   5.0%,  0.63%
48 ,16,10,   8.0%,  0.76%
48 ,16,11,  10.9%,  1.45%
48 ,16,12,   5.2%,  1.03%
48 ,16,13,   3.2%,  0.46%
48 ,16,14,  19.6%,  1.01%
48 ,17,1,  67.5%,  1.23%
48 ,17,2,  20.0%,  1.09%
48 ,17,3,  11.5%,  1.12%
48 ,17,4,   0.2%,  0.12%
48 ,17,5,   0.8%,  0.24%
48 ,17,6,   2.6%,  0.40%
48 ,17,7,   0.4%,  0.25%
48 ,17,8,   1.5%,  0.47%
48 ,17,9,  24.4%,  0.91%
48 ,18,1,  10.1%,  0.99%
48 ,18,2,  29.1%,  2.01%
48 ,18,3,  60.8%,  1.75%
48 ,19,1,  28.4%,  1.88%
48 ,19,2,   8.8%,  0.76%
48 ,19,3,   7.5%,  1.01%
48 ,19,4,  22.7%,  1.56%
48 ,19,5,   9.9%,  1.09%
48 ,19,6,  20.2%,  1.37%
48 ,19,7,   6.9%,  1.62%
48 ,19,8,  40.9%,  2.09%
48 ,20,1,   0.4%,  0.16%
48 ,20,2,   3.4%,  0.56%
48 ,20,3,  14.7%,  0.82%
48 ,20,4,  43.1%,  1.53%
48 ,20,5,  11.1%,  0.90%
48 ,20,6,   2.4%,  0.79%
48 ,20,7,  16.3%,  0.81%
48 ,20,8,   8.5%,  0.52%
51 ,2,1,  31.8%,  1.97%
51 ,2,2,  43.3%,  1.40%
51 ,2,3,  17.2%,  1.66%
51 ,2,4,   6.8%,  0.80%
51 ,2,5,   0.9%,  0.30%
51 ,3,1,  10.2%,  0.90%
51 ,3,2,   4.3%,  0.99%
51 ,3,3,   6.8%,  1.32%
51 ,3,4,  13.7%,  2.14%
51 ,3,5,  18.1%,  1.68%
51 ,3,6,  12.5%,  1.60%
51 ,3,7,   6.1%,  1.07%
51 ,3,8,  10.3%,  0.64%
51 ,3,9,  11.5%,  1.68%
51 ,3,10,   6.5%,  1.45%
51 ,4,1,   6.1%,  0.79%
51 ,4,2,  30.0%,  1.99%
51 ,4,3,  63.9%,  2.32%
51 ,5,2,   3.2%,  0.97%
51 ,5,3,   1.1%,  0.44%
51 ,5,4,  95.5%,  0.89%
51 ,6,1,   4.8%,  1.35%
51 ,6,2,   6.5%,  0.86%
51 ,6,3,  88.7%,  0.83%
51 ,7,1,   1.1%,  0.63%
51 ,7,2,  33.6%,  1.97%
51 ,7,3,  65.2%,  2.12%
51 ,8,1,   3.2%,  0.72%
51 ,8,2,   9.4%,  1.30%
51 ,8,3,  87.4%,  1.42%
51 ,9,1,   8.5%,  0.90%
51 ,9,2,   4.3%,  1.24%
51 ,9,3,  68.5%,  1.72%
51 ,9,4,  18.7%,  1.25%
51 ,10,1,  13.6%,  1.12%
51 ,10,2,   5.8%,  0.86%
51 ,10,3,   3.6%,  0.90%
51 ,10,4,   1.8%,  0.60%
51 ,10,5,   9.2%,  1.35%
51 ,10,6,  14.9%,  1.44%
51 ,10,7,  74.8%,  1.15%
51 ,11,1,   5.2%,  0.75%
51 ,11,2,   6.9%,  1.12%
51 ,11,3,   5.5%,  0.84%
51 ,11,4,  10.3%,  1.28%
51 ,11,5,  12.7%,  1.39%
51 ,11,6,   1.2%,  0.43%
51 ,11,7,   7.0%,  0.82%
51 ,11,8,  73.1%,  1.49%
51 ,12,1,   1.6%,  0.50%
51 ,12,2,   6.5%,  0.87%
51 ,12,3,  45.0%,  1.84%
51 ,12,4,  30.1%,  2.37%
51 ,12,5,  16.8%,  1.83%
51 ,13,1,   3.4%,  1.24%
51 ,13,2,   6.3%,  1.46%
51 ,13,3,  13.1%,  1.02%
51 ,13,4,  25.1%,  1.42%
51 ,13,5,  33.1%,  1.57%
51 ,13,6,   3.9%,  0.65%
51 ,13,7,  15.2%,  1.56%
51 ,14,1,   1.5%,  0.75%
51 ,14,2,  98.5%,  0.75%
51 ,15,1,   8.5%,  0.90%
51 ,15,2,  91.5%,  0.90%
51 ,16,1,  64.9%,  2.18%
51 ,16,2,  20.8%,  1.91%
51 ,16,3,  14.6%,  1.37%
51 ,16,4,   1.1%,  0.43%
51 ,16,5,   1.9%,  0.63%
51 ,16,6,   2.2%,  0.59%
51 ,16,8,   0.9%,  0.40%
51 ,16,9,   8.3%,  0.98%
51 ,16,10,   6.4%,  1.67%
51 ,16,11,  14.7%,  1.98%
51 ,16,12,   4.9%,  1.37%
51 ,16,13,   7.4%,  1.53%
51 ,16,14,  25.3%,  1.45%
51 ,17,1,  63.2%,  1.97%
51 ,17,2,  17.8%,  1.59%
51 ,17,3,   8.9%,  1.07%
51 ,17,5,   2.3%,  0.62%
51 ,17,6,   2.2%,  0.57%
51 ,17,8,   1.1%,  0.37%
51 ,17,9,  31.0%,  1.67%
51 ,18,1,  38.7%,  2.25%
51 ,18,2,  38.7%,  3.06%
51 ,18,3,  22.6%,  1.65%
51 ,19,1,  31.4%,  1.67%
51 ,19,2,  10.9%,  1.69%
51 ,19,3,  18.9%,  2.36%
51 ,19,4,  41.8%,  2.20%
51 ,19,5,  12.1%,  1.87%
51 ,19,6,  20.8%,  2.04%
51 ,19,7,   6.5%,  1.69%
51 ,19,8,  31.6%,  1.40%
51 ,20,2,   2.8%,  0.77%
51 ,20,3,  14.2%,  1.16%
51 ,20,4,  48.0%,  2.54%
51 ,20,5,   7.7%,  1.77%
51 ,20,6,   0.6%,  0.33%
51 ,20,7,  20.1%,  1.63%
51 ,20,8,   6.6%,  0.93%
52 ,2,1,  13.3%,  0.81%
52 ,2,2,  47.4%,  1.55%
52 ,2,3,  33.5%,  1.43%
52 ,2,4,   4.4%,  0.37%
52 ,2,5,   1.4%,  0.35%
52 ,3,1,   5.6%,  0.63%
52 ,3,2,   3.5%,  0.63%
52 ,3,3,   4.5%,  0.57%
52 ,3,4,  12.6%,  1.15%
52 ,3,5,  23.3%,  1.26%
52 ,3,6,  18.8%,  1.32%
52 ,3,7,   7.5%,  0.71%
52 ,3,8,   7.5%,  0.60%
52 ,3,9,   7.1%,  0.90%
52 ,3,10,   9.6%,  0.94%
52 ,4,1,   4.6%,  0.49%
52 ,4,2,  22.4%,  1.63%
52 ,4,3,  73.1%,  1.62%
52 ,5,2,   1.8%,  0.33%
52 ,5,3,   1.8%,  0.31%
52 ,5,4,  96.3%,  0.41%
52 ,6,1,   3.2%,  0.70%
52 ,6,2,   4.0%,  0.50%
52 ,6,3,  92.8%,  0.49%
52 ,7,1,   0.7%,  0.26%
52 ,7,2,  20.3%,  1.27%
52 ,7,3,  79.0%,  1.36%
52 ,8,1,   2.9%,  0.46%
52 ,8,2,   7.4%,  0.88%
52 ,8,3,  89.7%,  0.65%
52 ,9,1,   8.8%,  0.84%
52 ,9,2,   2.6%,  0.41%
52 ,9,3,  62.2%,  1.21%
52 ,9,4,  26.4%,  1.04%
52 ,10,1,   5.2%,  0.58%
52 ,10,2,   0.6%,  0.22%
52 ,10,3,   1.8%,  0.48%
52 ,10,4,   0.3%,  0.20%
52 ,10,5,   3.6%,  0.54%
52 ,10,6,   4.9%,  0.83%
52 ,10,7,  88.7%,  1.17%
52 ,11,1,   1.5%,  0.48%
52 ,11,2,   5.3%,  0.50%
52 ,11,3,   4.9%,  0.51%
52 ,11,4,   7.0%,  0.56%
52 ,11,5,  13.9%,  1.13%
52 ,11,6,   1.3%,  0.34%
52 ,11,7,   2.7%,  0.49%
52 ,11,8,  77.4%,  1.09%
52 ,12,1,   0.7%,  0.13%
52 ,12,2,   6.1%,  0.83%
52 ,12,3,  62.9%,  1.48%
52 ,12,4,  23.9%,  1.18%
52 ,12,5,   6.4%,  0.69%
52 ,13,1,   2.6%,  0.41%
52 ,13,2,   5.6%,  0.60%
52 ,13,3,  10.5%,  1.07%
52 ,13,4,  23.5%,  1.05%
52 ,13,5,  38.5%,  1.26%
52 ,13,6,   3.6%,  0.52%
52 ,13,7,  15.7%,  0.73%
52 ,14,1,   0.8%,  0.25%
52 ,14,2,  99.2%,  0.25%
52 ,15,1,   3.2%,  0.75%
52 ,15,2,  96.8%,  0.75%
52 ,16,1,  53.9%,  1.14%
52 ,16,2,  13.6%,  0.90%
52 ,16,3,   6.7%,  0.46%
52 ,16,4,   0.6%,  0.12%
52 ,16,5,   0.8%,  0.13%
52 ,16,6,   1.2%,  0.24%
52 ,16,7,   0.2%,  0.16%
52 ,16,8,   0.5%,  0.14%
52 ,16,9,   1.6%,  0.30%
52 ,16,10,   3.1%,  0.52%
52 ,16,11,   6.5%,  0.79%
52 ,16,12,   1.6%,  0.33%
52 ,16,13,   1.8%,  0.56%
52 ,16,14,  40.0%,  1.26%
52 ,17,1,  52.8%,  1.26%
52 ,17,2,  11.3%,  0.82%
52 ,17,3,   4.7%,  0.69%
52 ,17,4,   0.3%,  0.14%
52 ,17,5,   0.8%,  0.18%
52 ,17,6,   1.4%,  0.26%
52 ,17,7,   0.3%,  0.21%
52 ,17,8,   0.7%,  0.19%
52 ,17,9,  43.5%,  1.18%
52 ,18,1,  35.1%,  1.41%
52 ,18,2,  29.9%,  1.31%
52 ,18,3,  35.0%,  1.57%
52 ,19,1,  13.0%,  1.14%
52 ,19,2,   2.7%,  0.45%
52 ,19,3,  13.5%,  0.82%
52 ,19,4,  31.4%,  1.07%
52 ,19,5,  10.9%,  0.97%
52 ,19,6,  16.3%,  0.70%
52 ,19,7,   3.8%,  0.47%
52 ,19,8,  49.3%,  1.63%
52 ,20,1,   0.5%,  0.30%
52 ,20,2,   2.6%,  0.53%
52 ,20,3,  15.3%,  1.46%
52 ,20,4,  34.4%,  1.23%
52 ,20,5,   5.7%,  0.54%
52 ,20,6,   2.1%,  0.34%
52 ,20,7,  28.3%,  1.13%
52 ,20,8,  11.1%,  0.50%
53 ,2,1,  20.4%,  0.90%
53 ,2,2,  42.7%,  1.75%
53 ,2,3,  28.3%,  1.90%
53 ,2,4,   6.7%,  0.59%
53 ,2,5,   2.0%,  0.47%
53 ,3,1,   7.8%,  1.48%
53 ,3,2,   2.8%,  0.55%
53 ,3,3,   3.9%,  0.75%
53 ,3,4,  13.7%,  1.41%
53 ,3,5,  24.7%,  1.49%
53 ,3,6,  15.4%,  1.02%
53 ,3,7,   7.3%,  0.98%
53 ,3,8,   7.7%,  0.83%
53 ,3,9,   6.8%,  0.94%
53 ,3,10,  10.0%,  0.88%
53 ,4,1,   3.9%,  0.62%
53 ,4,2,  28.5%,  0.92%
53 ,4,3,  67.6%,  1.06%
53 ,5,2,   3.1%,  0.96%
53 ,5,3,   0.9%,  0.34%
53 ,5,4,  95.8%,  0.96%
53 ,6,1,   2.4%,  0.46%
53 ,6,2,   5.6%,  0.77%
53 ,6,3,  91.9%,  1.05%
53 ,7,1,   1.1%,  0.42%
53 ,7,2,  30.2%,  1.50%
53 ,7,3,  68.7%,  1.48%
53 ,8,1,   2.3%,  0.44%
53 ,8,2,  10.5%,  1.21%
53 ,8,3,  87.3%,  1.47%
53 ,9,1,   5.0%,  1.14%
53 ,9,2,   2.8%,  0.38%
53 ,9,3,  52.8%,  1.71%
53 ,9,4,  39.4%,  1.89%
53 ,10,1,  12.7%,  1.40%
53 ,10,2,   3.6%,  0.54%
53 ,10,3,   5.9%,  1.02%
53 ,10,4,   1.3%,  0.54%
53 ,10,5,   3.1%,  0.81%
53 ,10,6,   7.1%,  0.59%
53 ,10,7,  83.4%,  1.41%
53 ,11,1,   1.9%,  0.37%
53 ,11,2,   5.7%,  0.72%
53 ,11,3,   3.2%,  0.43%
53 ,11,4,   7.9%,  0.62%
53 ,11,5,  12.9%,  1.54%
53 ,11,6,   2.5%,  0.57%
53 ,11,7,   7.3%,  1.03%
53 ,11,8,  76.3%,  1.56%
53 ,12,1,   0.9%,  0.23%
53 ,12,2,   6.1%,  0.79%
53 ,12,3,  58.2%,  1.16%
53 ,12,4,  23.2%,  1.07%
53 ,12,5,  11.6%,  0.99%
53 ,13,1,   3.2%,  0.79%
53 ,13,2,   5.8%,  0.65%
53 ,13,3,  10.7%,  0.76%
53 ,13,4,  23.0%,  0.78%
53 ,13,5,  35.6%,  1.25%
53 ,13,6,   3.8%,  0.89%
53 ,13,7,  17.9%,  1.28%
53 ,14,1,   2.4%,  0.38%
53 ,14,2,  97.6%,  0.38%
53 ,15,1,   4.9%,  0.51%
53 ,15,2,  95.1%,  0.51%
53 ,16,1,  59.0%,  1.81%
53 ,16,2,  17.7%,  1.68%
53 ,16,3,  11.4%,  1.19%
53 ,16,4,   0.6%,  0.25%
53 ,16,5,   0.8%,  0.18%
53 ,16,6,   1.9%,  0.40%
53 ,16,7,   0.4%,  0.21%
53 ,16,8,   0.6%,  0.28%
53 ,16,9,   5.0%,  0.49%
53 ,16,10,   3.7%,  0.92%
53 ,16,11,   8.3%,  0.84%
53 ,16,12,   3.2%,  0.59%
53 ,16,13,   2.4%,  0.46%
53 ,16,14,  33.9%,  1.65%
53 ,17,1,  57.9%,  1.80%
53 ,17,2,  16.4%,  1.61%
53 ,17,3,   8.1%,  0.60%
53 ,17,4,   0.3%,  0.17%
53 ,17,5,   0.9%,  0.16%
53 ,17,6,   2.0%,  0.33%
53 ,17,7,   0.4%,  0.25%
53 ,17,8,   0.8%,  0.36%
53 ,17,9,  37.3%,  1.85%
53 ,18,1,  25.2%,  1.80%
53 ,18,2,  32.9%,  1.56%
53 ,18,3,  41.9%,  1.65%
53 ,19,1,  20.4%,  1.30%
53 ,19,2,   5.4%,  1.06%
53 ,19,3,   8.6%,  0.94%
53 ,19,4,  25.1%,  1.99%
53 ,19,5,  12.7%,  1.36%
53 ,19,6,  10.8%,  0.93%
53 ,19,7,   3.4%,  0.75%
53 ,19,8,  51.3%,  2.34%
53 ,20,2,   2.1%,  0.49%
53 ,20,3,  13.9%,  1.05%
53 ,20,4,  39.0%,  1.40%
53 ,20,5,   4.9%,  0.57%
53 ,20,6,   1.5%,  0.62%
53 ,20,7,  28.2%,  1.03%
53 ,20,8,  10.3%,  0.68%
54 ,2,1,  20.6%,  0.72%
54 ,2,2,  50.7%,  1.07%
54 ,2,3,  22.9%,  0.84%
54 ,2,4,   4.8%,  0.24%
54 ,2,5,   1.1%,  0.09%
54 ,3,1,   8.1%,  0.57%
54 ,3,2,   3.8%,  0.34%
54 ,3,3,   4.7%,  0.41%
54 ,3,4,  12.0%,  0.54%
54 ,3,5,  17.8%,  0.78%
54 ,3,6,  15.6%,  0.58%
54 ,3,7,  10.3%,  0.54%
54 ,3,8,  13.0%,  0.59%
54 ,3,9,   8.1%,  0.37%
54 ,3,10,   6.5%,  0.39%
54 ,4,1,   5.2%,  0.25%
54 ,4,2,  28.4%,  0.73%
54 ,4,3,  66.4%,  0.78%
54 ,5,1,   0.1%,  0.05%
54 ,5,2,   1.9%,  0.24%
54 ,5,3,   1.3%,  0.15%
54 ,5,4,  96.6%,  0.32%
54 ,6,1,   4.8%,  0.41%
54 ,6,2,   7.2%,  0.51%
54 ,6,3,  87.9%,  0.66%
54 ,7,1,   1.3%,  0.19%
54 ,7,2,  32.5%,  1.04%
54 ,7,3,  66.3%,  1.07%
54 ,8,1,   3.4%,  0.21%
54 ,8,2,  14.0%,  0.81%
54 ,8,3,  82.5%,  0.95%
54 ,9,1,   8.3%,  0.39%
54 ,9,2,   4.9%,  0.27%
54 ,9,3,  64.6%,  0.49%
54 ,9,4,  22.2%,  0.59%
54 ,10,1,  14.1%,  0.40%
54 ,10,2,   4.1%,  0.23%
54 ,10,3,   5.3%,  0.25%
54 ,10,4,   1.3%,  0.22%
54 ,10,5,   6.0%,  0.36%
54 ,10,6,  11.0%,  0.55%
54 ,10,7,  79.2%,  0.56%
54 ,11,1,   3.9%,  0.19%
54 ,11,2,   8.2%,  0.50%
54 ,11,3,   6.3%,  0.56%
54 ,11,4,   9.9%,  0.55%
54 ,11,5,  13.6%,  0.69%
54 ,11,6,   2.4%,  0.24%
54 ,11,7,   5.8%,  0.39%
54 ,11,8,  71.8%,  0.81%
54 ,12,1,   1.3%,  0.05%
54 ,12,2,   5.5%,  0.27%
54 ,12,3,  50.1%,  0.98%
54 ,12,4,  31.1%,  0.85%
54 ,12,5,  12.0%,  0.38%
54 ,13,1,   3.8%,  0.31%
54 ,13,2,   6.0%,  0.45%
54 ,13,3,  14.4%,  0.43%
54 ,13,4,  31.0%,  0.68%
54 ,13,5,  29.7%,  0.46%
54 ,13,6,   3.3%,  0.38%
54 ,13,7,  11.8%,  0.66%
54 ,14,1,   1.8%,  0.28%
54 ,14,2,  98.2%,  0.28%
54 ,15,1,   6.8%,  0.45%
54 ,15,2,  93.2%,  0.45%
54 ,16,1,  71.1%,  0.64%
54 ,16,2,  19.2%,  0.49%
54 ,16,3,  11.7%,  0.55%
54 ,16,4,   0.6%,  0.13%
54 ,16,5,   1.5%,  0.19%
54 ,16,6,   3.5%,  0.33%
54 ,16,7,   0.3%,  0.07%
54 ,16,8,   0.7%,  0.12%
54 ,16,9,   4.3%,  0.41%
54 ,16,10,   5.8%,  0.38%
54 ,16,11,  10.5%,  0.52%
54 ,16,12,   3.3%,  0.51%
54 ,16,13,   2.3%,  0.15%
54 ,16,14,  22.7%,  0.54%
54 ,17,1,  69.8%,  0.64%
54 ,17,2,  17.0%,  0.58%
54 ,17,3,   7.0%,  0.55%
54 ,17,4,   0.3%,  0.08%
54 ,17,5,   1.5%,  0.14%
54 ,17,6,   3.6%,  0.37%
54 ,17,7,   0.2%,  0.07%
54 ,17,8,   0.9%,  0.23%
54 ,17,9,  25.9%,  0.58%
54 ,18,1,  31.7%,  0.61%
54 ,18,2,  30.5%,  0.74%
54 ,18,3,  37.7%,  0.95%
54 ,19,1,  23.7%,  0.87%
54 ,19,2,   6.3%,  0.56%
54 ,19,3,  13.4%,  0.86%
54 ,19,4,  35.0%,  1.01%
54 ,19,5,  13.4%,  0.52%
54 ,19,6,  21.8%,  0.66%
54 ,19,7,   4.6%,  0.25%
54 ,19,8,  37.0%,  0.83%
54 ,20,1,   0.5%,  0.13%
54 ,20,2,   3.8%,  0.32%
54 ,20,3,  17.0%,  0.43%
54 ,20,4,  42.6%,  1.16%
54 ,20,5,   5.8%,  0.42%
54 ,20,6,   1.3%,  0.13%
54 ,20,7,  20.8%,  0.77%
54 ,20,8,   8.2%,  0.41%
55 ,2,2,  24.3%, 14.20%
55 ,2,3,  72.2%, 15.02%
55 ,3,1,  32.0%, 18.68%
55 ,3,10,  12.8%,  7.64%
55 ,4,2,  15.2%, 12.19%
55 ,4,3,  84.8%, 12.19%
55 ,5,4, 100.0%,  0.00%
55 ,6,3,  95.1%,  5.22%
55 ,7,3,  97.0%,  3.16%
55 ,8,3,  95.1%,  5.22%
55 ,9,3,  74.2%, 14.36%
55 ,9,4,  18.6%, 11.36%
55 ,10,7,  80.3%, 12.87%
55 ,11,8,  96.2%,  3.94%
55 ,12,3,  82.5%, 13.35%
55 ,13,3,  15.8%,  7.33%
55 ,13,4,  23.1%, 14.32%
55 ,13,5,  29.0%, 10.85%
55 ,13,7,  32.1%, 10.30%
55 ,14,2, 100.0%,  0.00%
55 ,15,2, 100.0%,  0.00%
55 ,16,1,  29.6%, 10.39%
55 ,16,2,  20.5%,  9.70%
55 ,16,14,  62.9%, 11.87%
55 ,17,1,  29.6%, 10.39%
55 ,17,2,  20.5%,  9.70%
55 ,17,9,  65.5%, 11.37%
55 ,18,2,  14.3%,  6.20%
55 ,18,3,  72.8%,  8.88%
55 ,19,8,  76.8%,  8.95%
55 ,20,7,  54.0%, 13.76%
55 ,20,8,  14.5%, 10.06%
56 ,2,1,  25.2%,  1.17%
56 ,2,2,  43.3%,  1.57%
56 ,2,3,  24.3%,  1.66%
56 ,2,4,   5.5%,  0.68%
56 ,2,5,   1.7%,  0.32%
56 ,3,1,   8.3%,  0.94%
56 ,3,2,   3.1%,  0.47%
56 ,3,3,   4.0%,  0.70%
56 ,3,4,   9.4%,  0.54%
56 ,3,5,  17.7%,  1.23%
56 ,3,6,  18.7%,  0.78%
56 ,3,7,   9.9%,  0.79%
56 ,3,8,  10.6%,  0.94%
56 ,3,9,   9.7%,  1.05%
56 ,3,10,   8.6%,  0.49%
56 ,4,1,   5.9%,  0.65%
56 ,4,2,  33.7%,  1.10%
56 ,4,3,  60.4%,  1.08%
56 ,5,2,   3.5%,  0.50%
56 ,5,3,   2.2%,  0.45%
56 ,5,4,  94.2%,  0.93%
56 ,6,1,   4.3%,  0.37%
56 ,6,2,  18.7%,  1.06%
56 ,6,3,  77.0%,  1.27%
56 ,7,1,   2.7%,  0.61%
56 ,7,2,  41.2%,  1.34%
56 ,7,3,  56.1%,  1.75%
56 ,8,1,   4.6%,  0.78%
56 ,8,2,  25.3%,  1.41%
56 ,8,3,  70.1%,  1.01%
56 ,9,1,   5.5%,  0.71%
56 ,9,2,   3.8%,  0.48%
56 ,9,3,  41.6%,  1.65%
56 ,9,4,  49.1%,  1.50%
56 ,10,1,  19.3%,  0.89%
56 ,10,2,   4.5%,  0.45%
56 ,10,3,   8.9%,  0.87%
56 ,10,4,   2.4%,  0.61%
56 ,10,5,   7.4%,  0.57%
56 ,10,6,  12.7%,  0.73%
56 ,10,7,  74.3%,  1.04%
56 ,11,1,   6.0%,  0.44%
56 ,11,2,  16.5%,  0.96%
56 ,11,3,   2.9%,  0.21%
56 ,11,4,   7.8%,  0.74%
56 ,11,5,   8.7%,  0.67%
56 ,11,6,   3.1%,  0.43%
56 ,11,7,   8.9%,  0.44%
56 ,11,8,  69.0%,  0.99%
56 ,12,1,   0.8%,  0.27%
56 ,12,2,   7.4%,  0.55%
56 ,12,3,  43.4%,  1.47%
56 ,12,4,  33.1%,  1.04%
56 ,12,5,  15.3%,  1.27%
56 ,13,1,   6.5%,  0.61%
56 ,13,2,   9.5%,  0.90%
56 ,13,3,  14.1%,  1.07%
56 ,13,4,  28.4%,  1.57%
56 ,13,5,  21.0%,  1.58%
56 ,13,6,   4.5%,  0.37%
56 ,13,7,  16.0%,  1.04%
56 ,14,1,   2.1%,  0.43%
56 ,14,2,  97.9%,  0.43%
56 ,15,1,   6.8%,  0.84%
56 ,15,2,  93.2%,  0.84%
56 ,16,1,  70.9%,  1.25%
56 ,16,2,  21.9%,  1.39%
56 ,16,3,  14.8%,  1.06%
56 ,16,4,   1.2%,  0.35%
56 ,16,5,   1.5%,  0.24%
56 ,16,6,   4.3%,  0.76%
56 ,16,7,   0.5%,  0.19%
56 ,16,8,   0.4%,  0.14%
56 ,16,9,   3.8%,  0.92%
56 ,16,10,   6.6%,  0.50%
56 ,16,11,  10.6%,  0.52%
56 ,16,12,   3.0%,  0.67%
56 ,16,13,   2.7%,  0.48%
56 ,16,14,  23.0%,  0.94%
56 ,17,1,  69.6%,  1.21%
56 ,17,2,  19.2%,  1.19%
56 ,17,3,  10.4%,  0.74%
56 ,17,4,   0.7%,  0.24%
56 ,17,5,   1.6%,  0.18%
56 ,17,6,   4.3%,  0.52%
56 ,17,7,   0.4%,  0.19%
56 ,17,8,   0.7%,  0.23%
56 ,17,9,  26.0%,  1.16%
56 ,18,1,  15.9%,  1.11%
56 ,18,2,  32.4%,  1.21%
56 ,18,3,  51.7%,  0.97%
56 ,19,1,  23.6%,  1.01%
56 ,19,2,   8.8%,  1.16%
56 ,19,3,   9.9%,  0.87%
56 ,19,4,  31.1%,  1.31%
56 ,19,5,  12.6%,  0.94%
56 ,19,6,  31.8%,  1.08%
56 ,19,7,   4.6%,  0.63%
56 ,19,8,  37.7%,  1.16%
56 ,20,2,   3.6%,  0.56%
56 ,20,3,  16.3%,  1.08%
56 ,20,4,  38.0%,  1.22%
56 ,20,5,   6.9%,  1.12%
56 ,20,6,   1.5%,  0.35%
56 ,20,7,  24.5%,  1.49%
56 ,20,8,   9.2%,  0.72%
61 ,2,1,  59.4%,  2.78%
61 ,2,2,  32.2%,  2.51%
61 ,2,3,   4.8%,  1.07%
61 ,2,4,   3.5%,  1.02%
61 ,3,1,   9.8%,  1.62%
61 ,3,2,   5.6%,  1.25%
61 ,3,3,   9.2%,  1.47%
61 ,3,4,  17.2%,  1.94%
61 ,3,5,  29.4%,  2.04%
61 ,3,6,  14.4%,  1.74%
61 ,3,7,   3.1%,  0.63%
61 ,3,8,   5.4%,  1.20%
61 ,3,9,   1.7%,  0.73%
61 ,3,10,   4.1%,  0.99%
61 ,4,1,   5.4%,  1.59%
61 ,4,2,  42.0%,  2.71%
61 ,4,3,  52.6%,  2.69%
61 ,5,1,   0.6%,  0.31%
61 ,5,2,  13.6%,  1.96%
61 ,5,3,   2.1%,  0.58%
61 ,5,4,  83.8%,  2.19%
61 ,6,1,   2.3%,  0.90%
61 ,6,2,  15.5%,  2.00%
61 ,6,3,  82.2%,  2.37%
61 ,7,1,   4.4%,  1.26%
61 ,7,2,  56.9%,  1.97%
61 ,7,3,  38.7%,  2.15%
61 ,8,1,   3.8%,  1.11%
61 ,8,2,  28.7%,  3.06%
